Title,Magazine[Language],Magazine[Origin],Magazine[Start date],Magazine[End date],Magazine[Systems],Magazine[Issues]
Byteshop,unknown,unknown,17.01.1998,17.01.1998,MS-DOS,"Byteshop #1, Byteshop #2"
C64 Memories 2 - Pictures,unknown,unknown,01.01.1992,01.01.1992,AMIGA OCS/ECS,C64 Memories 2 - Pictures
Cabal,unknown,unknown,01.01.1991,09.09.1991,AMIGA OCS/ECS,"Cabal 1, Cabal 2"
Cactus,unknown,unknown,09.09.1991,01.01.1994,AMIGA OCS/ECS,"Cactus 1, Cactus 3"
Cactus Scenest Party Edition,unknown,unknown,01.01.1994,01.01.1994,AMIGA AGA,Cactus Scenest Party Edition
Caesar Deluxe Review,unknown,unknown,28.07.1993,28.07.1993,MS-DOS,Caesar Deluxe Review
Cannon Fodder Review,unknown,unknown,14.03.1994,14.03.1994,MS-DOS,Cannon Fodder Review
Capitalism Plus Review,unknown,unknown,22.05.1997,22.05.1997,MS-DOS,Capitalism Plus Review
Casino Tournament Of Champions Review,unknown,unknown,20.04.1995,20.04.1995,MS-DOS,Casino Tournament Of Champions Review
Castles Complete Game Documentation,unknown,unknown,03.07.1991,03.07.1991,MS-DOS,Castles Complete Game Documentation
Catch 'Em Review,unknown,unknown,27.06.1994,27.06.1994,MS-DOS,Catch 'Em Review
Caustic Verses,unknown,unknown,27.06.1994,27.06.1994,MS-DOS,Caustic Verses 1
CCB Club-Mag 01 /,unknown,unknown,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 01 / 92
CCB Club-Mag 02 /,unknown,unknown,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 02 / 92
CCB Club-Mag 03 /,unknown,unknown,01.01.1992,01.01.1992,ATARI 8 BIT,CCB Club-Mag 03 / 92
CCB Club-Mag 04 /,unknown,unknown,01.01.1991,01.01.1992,ATARI 8 BIT,"CCB Club-Mag 04 / 91, CCB Club-Mag 04 / 92"
CCB Club-Mag 05 /,unknown,unknown,01.01.1991,01.01.1991,ATARI 8 BIT,CCB Club-Mag 05 / 91
Ceibe,unknown,unknown,01.01.1991,01.01.1991,MS-DOS,"Ceibe 1, Ceibe 2, Ceibe 3"
Cemetery News,unknown,unknown,01.01.1990,01.01.1993,"AMIGA OCS/ECS, COMMODORE 64","Cemetery News #1, Cemetery News 1, Cemetery News 2, Cemetery News 3, Cemetery News #4"
CGR Issue,unknown,unknown,02.05.1993,02.05.1993,MS-DOS,CGR Issue #1
Change,unknown,unknown,02.05.1993,02.05.1993,AMIGA OCS/ECS,"Change 1, Change 2, Change 3"
Channel,unknown,unknown,02.05.1993,02.05.1993,MS-DOS,Channel #1
Chaos,unknown,unknown,02.05.1993,02.05.1993,WINDOWS,"Chaos 0, Chaos 1"
Charisma Issue No.,unknown,unknown,01.09.1995,20.04.1996,AMIGA OCS/ECS,"Charisma Issue No. 1, Charisma Issue No. 2"
The Chart,unknown,unknown,01.12.1993,01.12.1993,AMIGA OCS/ECS,The Chart 2
Chart Chat,unknown,unknown,26.11.1988,01.12.1993,AMIGA OCS/ECS,"Chart Chat 1, Chart Chat 2, Chart Chat 3, Chart Chat 7, Chart Chat 8"
The Chart Pre-Release Issue,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,The Chart Pre-Release Issue
Chartari,unknown,unknown,06.03.2011,06.03.2011,ATARI 8 BIT,Chartari #1
The Charts,unknown,unknown,28.02.1993,22.02.1995,"AMIGA OCS/ECS, AMIGA AGA","The Charts 1, The Charts 2, The Charts 3, The Charts 4, The Charts 5, The Charts 6, The Charts 7, The Charts 8, The Charts 9, The Charts 10, The Charts 11, The Charts 12, The Charts 13, The Charts 14, The Charts 15, The Charts 16, The Charts 17"
Charts of,unknown,unknown,22.02.1995,22.02.1995,COMMODORE 64,Charts of 1987
Cheese,unknown,unknown,01.02.1996,01.02.1996,MS-DOS,"Cheese #1, Cheese #02, Cheese #03, Cheese #05, Cheese #06, Cheese #07, Cheese #08, Cheese #09, Cheese #10, Cheese #11, Cheese #12, Cheese #13"
Chit Chat,unknown,unknown,16.11.1991,02.04.1995,"AMIGA OCS/ECS, COMMODORE 64, AMIGA AGA","Chit Chat #1, Chit Chat 1, Chit Chat 2, Chit Chat #2, Chit Chat 3, Chit Chat #3, Chit Chat #4, Chit Chat 4, Chit Chat 5, Chit Chat #5, Chit Chat #6, Chit Chat 6, Chit Chat 7, Chit Chat 8, Chit Chat 9, Chit Chat 10, Chit Chat 11, Chit Chat 12, Chit Chat 13, Chit Chat 14, Chit Chat 15"
The Choice 0 Preview,unknown,unknown,05.11.1990,05.11.1990,AMIGA OCS/ECS,The Choice 0 Preview
The Choice,unknown,unknown,05.11.1990,05.11.1990,AMIGA OCS/ECS,The Choice 1
Chosneck,unknown,unknown,12.01.2002,08.03.2004,ATARI FALCON,"Chosneck #1, Chosneck #2, Chosneck #3"
Chosneck Supplement (Episode FIVE),unknown,unknown,08.05.2006,08.05.2006,ATARI FALCON,Chosneck Supplement (Episode FIVE)
Church ST Disk,unknown,unknown,08.05.2006,08.05.2006,ATARI ST/E,Church ST Disk 1
CIP ST Ausgabe 3.0 (Februar 1988),unknown,unknown,08.05.2006,08.05.2006,ATARI ST/E,CIP ST Ausgabe 3.0 (Februar 1988)
City Of The Lost Children Review,unknown,unknown,06.05.1997,06.05.1997,MS-DOS,City Of The Lost Children Review
Clash Of Steel Review,unknown,unknown,04.07.1993,04.07.1993,MS-DOS,Clash Of Steel Review
Classic,unknown,unknown,04.07.1993,29.07.1996,MS-DOS,"Classic 1, Classic 2"
Classifieds issue,unknown,unknown,29.07.1996,29.07.1996,AMIGA OCS/ECS,Classifieds issue 1
Classifieds Up-Dater,unknown,unknown,26.08.1991,26.08.1991,AMIGA OCS/ECS,Classifieds Up-Dater
CLi,unknown,unknown,26.08.1991,26.08.1991,MS-DOS,"CLi #1, CLi #33"
"CLOSED LETTER FOR ""STEP""",unknown,unknown,26.10.2019,26.10.2019,ZX SPECTRUM,"CLOSED LETTER FOR ""STEP"""
Clubdiskette 01/1995,unknown,unknown,08.01.1995,08.01.1995,ATARI ST/E,Clubdiskette 01/1995
Coders Paradise,unknown,unknown,08.01.1995,08.01.1995,AMSTRAD CPC,"Coders Paradise #1, Coders Paradise #2"
Coders Scene Magazine,unknown,unknown,15.01.1991,08.01.1995,AMIGA OCS/ECS,"Coders Scene Magazine 1, Coders Scene Magazine 2, Coders Scene Magazine 3, Coders Scene Magazine 4, Coders Scene Magazine 5"
Cognomen,unknown,unknown,15.01.1991,15.01.1991,AMIGA AGA,Cognomen 0
Collapse,unknown,unknown,15.01.1991,15.01.1991,COMMODORE 64,Collapse 3
Colony News English,unknown,unknown,04.08.1997,22.06.1999,COMMODORE 64,"Colony News English 1, Colony News English 2, Colony News English 3, Colony News English 4, Colony News English 5, Colony News English 6, Colony News English 7"
Colony News [HUN],unknown,unknown,07.02.1996,03.08.1997,COMMODORE 64,"Colony News [HUN] 1, Colony News [HUN] 2, Colony News [HUN] 3, Colony News [HUN] 4, Colony News [HUN] 5, Colony News [HUN] 6"
Coma,unknown,unknown,28.06.1996,10.10.1998,AMIGA OCS/ECS,"Coma 1, Coma 2, Coma 3, Coma 4, Coma 5"
Coma – 3rd Anniversary,unknown,unknown,10.10.1998,10.10.1998,ATARI ST/E,Coma – 3rd Anniversary
Coma – Coverdisk,unknown,unknown,10.10.1998,10.10.1998,ATARI ST/E,Coma – Coverdisk
Coma Issue,unknown,unknown,10.10.1998,10.10.1998,ATARI ST/E,"Coma Issue 1, Coma Issue 2, Coma Issue 3, Coma Issue 4, Coma Issue 5, Coma Issue 6, Coma Issue 7, Coma Issue 8"
Coma – Summary 92-93,unknown,unknown,10.10.1998,10.10.1998,ATARI ST/E,Coma – Summary 92-93
Comanche 3 Review,unknown,unknown,15.04.1997,15.04.1997,MS-DOS,Comanche 3 Review
Comix One,unknown,unknown,13.05.1994,13.05.1994,AMIGA OCS/ECS,Comix One
Companions Of Xanth Review,unknown,unknown,14.11.1993,14.11.1993,MS-DOS,Companions Of Xanth Review
Compass,unknown,unknown,14.11.1993,14.11.1993,AMIGA OCS/ECS,Compass 1
Compy Shop Magazin - April,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - April 1988, Compy Shop Magazin - April 1989, Compy Shop Magazin - April 1990"
Compy Shop Magazin - August,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - August 1988, Compy Shop Magazin - August 1989"
Compy Shop Magazin - Dezember,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Dezember 1988, Compy Shop Magazin - Dezember 1989"
Compy Shop Magazin - Februar,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Februar 1988, Compy Shop Magazin - Februar 1989, Compy Shop Magazin - Februar 1990"
Compy Shop Magazin - Januar,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Januar 1989, Compy Shop Magazin - Januar 1990"
Compy Shop Magazin - Juli,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Juli 1988, Compy Shop Magazin - Juli 1989"
Compy Shop Magazin - Juni,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Juni 1988, Compy Shop Magazin - Juni 1989"
Compy Shop Magazin - Mai,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Mai 1988, Compy Shop Magazin - Mai 1989, Compy Shop Magazin - Mai 1990"
Compy Shop Magazin - März,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - März 1988, Compy Shop Magazin - März 1989, Compy Shop Magazin - März 1990"
Compy Shop Magazin - November,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - November 1988, Compy Shop Magazin - November 1989"
Compy Shop Magazin - Oktober,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - Oktober 1988, Compy Shop Magazin - Oktober 1989"
Compy Shop Magazin - September,unknown,unknown,14.11.1993,14.11.1993,ATARI 8 BIT,"Compy Shop Magazin - September 1988, Compy Shop Magazin - September 1989"
Condom,unknown,unknown,05.01.1991,03.04.1997,COMMODORE 64,"Condom #1, Condom #2, Condom #3, Condom #4, Condom #5, Condom #6, Condom #7, Condom #8, Condom #9, Condom #10"
Connections,unknown,unknown,03.04.1997,03.04.1997,AMIGA OCS/ECS,Connections 1
Connections Preview,unknown,unknown,03.04.1997,03.04.1997,AMIGA OCS/ECS,Connections Preview 2
Console News,unknown,unknown,30.05.1994,30.05.1994,AMIGA OCS/ECS,Console News 8
Console World 02/94,unknown,unknown,30.05.1994,30.05.1994,NINTENDO SNES/SUPER FAMICOM,Console World 02/94
Console World 03/94,unknown,unknown,30.05.1994,30.05.1994,NINTENDO SNES/SUPER FAMICOM,Console World 03/94
Constructor Review,unknown,unknown,06.09.1997,06.09.1997,MS-DOS,Constructor Review
Contact Line Preview,unknown,unknown,01.01.1992,01.01.1992,AMIGA OCS/ECS,Contact Line Preview
Contactbox,unknown,unknown,04.08.1994,24.10.1994,AMIGA OCS/ECS,"Contactbox 1, Contactbox 2"
Continuum,unknown,unknown,01.08.1994,01.03.1995,MS-DOS,"Continuum #1, Continuum #2, Continuum #3, Continuum #4, Continuum #5"
Contrast,unknown,unknown,01.03.1995,29.01.1997,"COMMODORE 64, MS-DOS","Contrast 1, Contrast #1, Contrast #2, Contrast 2, Contrast #3, Contrast 3, Contrast 4, Contrast 5, Contrast 6, Contrast 7"
Controversial,unknown,unknown,25.11.1994,25.11.1994,COMMODORE 64,Controversial 5
Coococ,unknown,unknown,01.04.1989,21.04.1990,COMMODORE 64,"Coococ 1, Coococ 2, Coococ 3, Coococ 4, Coococ 5, Coococ 6, Coococ 7, Coococ 8, Coococ 9, Coococ 10, Coococ 11, Coococ 13, Coococ 14, Coococ 15, Coococ 16, Coococ 17, Coococ 18, Coococ 19"
Cool World,unknown,unknown,08.03.1990,08.03.1990,AMIGA OCS/ECS,Cool World 2
Cooler,unknown,unknown,08.03.1990,08.03.1990,"MS-DOS, WINDOWS","Cooler 1, Cooler #2, Cooler 3, Cooler 3.5"
Cornucopia,unknown,unknown,08.03.1990,08.03.1990,AMIGA OCS/ECS,Cornucopia 2
Corruption,unknown,unknown,25.05.1990,01.09.1994,"COMMODORE 64, MS-DOS","Corruption #1, Corruption 1, Corruption 2, Corruption #2, Corruption 3, Corruption #3, Corruption 4, Corruption #4, Corruption 5, Corruption 6, Corruption 7, Corruption 8, Corruption 9, Corruption 10, Corruption 11, Corruption 12, Corruption 13, Corruption 14"
Cosmic Press,unknown,unknown,25.03.1991,28.05.1991,MS-DOS,"Cosmic Press 1, Cosmic Press 3"
COURAGE,unknown,unknown,28.05.1991,28.05.1991,NEC PC ENGINE,COURAGE
COW,unknown,unknown,25.07.1989,01.01.1990,AMIGA OCS/ECS,"COW 5, COW 7"
Cows n Bubbles feat Versus,unknown,unknown,25.07.1989,25.07.1989,AMIGA OCS/ECS,Cows n Bubbles feat Versus #4
Cows n Snakefights,unknown,unknown,25.07.1989,01.01.2007,AMIGA AGA,"Cows n Snakefights #1, Cows n Snakefights #7"
Cows'n'Snakefights,unknown,unknown,12.05.1999,03.10.2000,AMIGA OCS/ECS,"Cows'n'Snakefights 2, Cows'n'Snakefights 3, Cows'n'Snakefights 4, Cows'n'Snakefights 5, Cows'n'Snakefights 6"
Crack,unknown,unknown,01.01.1991,03.10.2000,AMIGA OCS/ECS,"Crack 1, Crack 2, Crack 3, Crack 4"
Crack'n Rom,unknown,unknown,01.01.1991,01.01.1991,AMSTRAD CPC,Crack'n Rom #7
Crackcharts 6/94,unknown,unknown,14.07.1994,14.07.1994,AMIGA OCS/ECS,Crackcharts 6/94
Cracker Journal,unknown,unknown,10.01.1988,23.05.1992,AMIGA OCS/ECS,"Cracker Journal 1, Cracker Journal 2, Cracker Journal 3, Cracker Journal 4, Cracker Journal 5, Cracker Journal 6, Cracker Journal 9, Cracker Journal 10, Cracker Journal 11, Cracker Journal 12, Cracker Journal 13, Cracker Journal 14, Cracker Journal 15, Cracker Journal 16, Cracker Journal 17, Cracker Journal 18, Cracker Journal 19, Cracker Journal 20, Cracker Journal 21, Cracker Journal 22, Cracker Journal 23, Cracker Journal 24, Cracker Journal 25, Cracker Journal 26, Cracker Journal 27, Cracker Journal 28"
Cracker Journal 7 and,unknown,unknown,23.07.1988,23.07.1988,AMIGA OCS/ECS,Cracker Journal 7 and 8
Cracker Journal Pre Issue,unknown,unknown,23.07.1988,23.07.1988,AMIGA OCS/ECS,Cracker Journal Pre Issue
Cracker Journal Special,unknown,unknown,23.07.1988,23.07.1988,AMIGA OCS/ECS,Cracker Journal Special 1
Cracker Journal Special 2 - Comics,unknown,unknown,23.07.1988,23.07.1988,AMIGA OCS/ECS,Cracker Journal Special 2 - Comics
Crash,unknown,unknown,01.01.1996,01.01.1996,AMIGA OCS/ECS,Crash 1
Crazy Comix,unknown,unknown,01.01.1989,24.03.1990,AMIGA OCS/ECS,"Crazy Comix 1, Crazy Comix 2, Crazy Comix 3, Crazy Comix 4"
Cream,unknown,unknown,22.05.1996,30.09.1997,MS-DOS,"Cream #1, Cream #2, Cream #3, Cream #4"
Crescent,unknown,unknown,30.09.1997,30.09.1997,MS-DOS,Crescent
The Crest,unknown,unknown,10.06.1998,10.06.1998,COMMODORE 64,The Crest 12
Crew Disk,unknown,unknown,10.06.1998,10.06.1998,ATARI ST/E,Crew Disk #1
Criminal,unknown,unknown,10.06.1998,10.06.1998,AMIGA OCS/ECS,Criminal 1
Criminal 1 (Paper),unknown,unknown,10.06.1998,10.06.1998,PAPER,Criminal 1 (Paper)
Criminal Intent Issue,unknown,unknown,16.03.1993,16.03.1993,MS-DOS,Criminal Intent Issue 1
Critic Ansi Reviews,unknown,unknown,01.01.1993,01.01.1993,MS-DOS,Critic Ansi Reviews #1
Crotesque,unknown,unknown,01.01.2000,01.01.2000,WINDOWS,"Crotesque 1, Crotesque 2"
The Crow: City Of Angels Review,unknown,unknown,05.03.1997,05.03.1997,MS-DOS,The Crow: City Of Angels Review
Cruel World Review,unknown,unknown,27.09.1993,27.09.1993,MS-DOS,Cruel World Review
Crusade: The Fight For Power Review,unknown,unknown,02.07.1996,02.07.1996,MS-DOS,Crusade: The Fight For Power Review
Crush,unknown,unknown,02.07.1996,02.07.1996,MS-DOS,Crush 1
Cui-Zine,unknown,unknown,02.07.1996,02.07.1996,WINDOWS,Cui-Zine 1
Cult - The Party 1994 Special,unknown,unknown,30.01.1995,30.01.1995,AMIGA AGA,Cult - The Party 1994 Special
Culture,unknown,unknown,01.02.1993,01.07.1993,COMMODORE 64,"Culture #3, Culture #5"
Cybermail,unknown,unknown,05.11.1995,01.08.1997,MS-DOS,"Cybermail #1, Cybermail #2, Cybermail #3, Cybermail #4"
CyberZine Issue,unknown,unknown,23.01.1993,05.04.1993,MS-DOS,"CyberZine Issue 1, CyberZine Issue 2"
Cynic Magazine,unknown,unknown,05.04.1993,05.04.1993,MS-DOS,"Cynic Magazine #1, Cynic Magazine #2"
D.I.S.C,unknown,unknown,30.05.1990,04.04.2002,"AMIGA OCS/ECS, AMIGA AGA","D.I.S.C 1, D.I.S.C 2, D.I.S.C 3, D.I.S.C 4, D.I.S.C 5, D.I.S.C 6, D.I.S.C 7, D.I.S.C 8, D.I.S.C 9, D.I.S.C 10, D.I.S.C 11, D.I.S.C 12, D.I.S.C 13"
D.I.S.C 09 Preview,unknown,unknown,01.01.1990,01.01.1990,AMIGA OCS/ECS,D.I.S.C 09 Preview
D.I.S.C.,unknown,unknown,01.01.1990,01.01.1990,AMIGA AGA,D.I.S.C. 14
D.O.G Review,unknown,unknown,28.06.1997,28.06.1997,MS-DOS,D.O.G Review
Daemons Gate Review,unknown,unknown,27.11.1993,27.11.1993,MS-DOS,Daemons Gate Review
Daemons Gate Solve,unknown,unknown,03.01.1994,03.01.1994,MS-DOS,Daemons Gate Solve
Daily Error Preview,unknown,unknown,03.06.1992,03.06.1992,ATARI ST/E,Daily Error Preview
Damage Report,unknown,unknown,13.08.1995,13.08.1995,AMIGA OCS/ECS,"Damage Report 3, Damage Report 4, Damage Report 5, Damage Report 6, Damage Report 8"
Damage Report Public,unknown,unknown,01.01.1993,24.12.1995,AMIGA OCS/ECS,"Damage Report Public 1, Damage Report Public 2, Damage Report Public 4, Damage Report Public 7"
Dansktoppen,unknown,unknown,12.12.1993,01.01.2000,"AMIGA OCS/ECS, AMIGA AGA","Dansktoppen 1, Dansktoppen 2, Dansktoppen 3, Dansktoppen 4, Dansktoppen 6, Dansktoppen 7, Dansktoppen 8, Dansktoppen 9"
Dansktoppen 4 1/2,unknown,unknown,30.05.1995,30.05.1995,AMIGA AGA,Dansktoppen 4 1/2
Dark Colony Review,unknown,unknown,20.08.1997,20.08.1997,MS-DOS,Dark Colony Review
The Dark Half Review,unknown,unknown,29.07.1993,29.07.1993,MS-DOS,The Dark Half Review
Darklight Conflict Review,unknown,unknown,30.03.1997,30.03.1997,MS-DOS,Darklight Conflict Review
Darkness,unknown,unknown,01.01.1994,01.01.1996,COMMODORE 64,"Darkness #2, Darkness #5"
Darksun: Shattered Lands Solve,unknown,unknown,03.10.1993,03.10.1993,MS-DOS,Darksun: Shattered Lands Solve
Daskmig,unknown,unknown,03.10.1993,03.10.1993,MS-DOS,"Daskmig 1, Daskmig 6, Daskmig 7, Daskmig 8"
Daskmig Illusions,unknown,unknown,03.10.1993,01.01.1994,MS-DOS,"Daskmig Illusions 2, Daskmig Illusions 3, Daskmig Illusions 4, Daskmig Illusions 5"
DBA Magazine,unknown,unknown,14.12.1991,07.10.1995,"ATARI FALCON, ATARI ST/E","DBA Magazine #01, DBA Magazine #02, DBA Magazine #03, DBA Magazine #04, DBA Magazine #05, DBA Magazine #06, DBA Magazine #07, DBA Magazine #08, DBA Magazine #09, DBA Magazine #10, DBA Magazine #11, DBA Magazine #12, DBA Magazine #13, DBA Magazine #14"
Dead End Street,unknown,unknown,07.10.1995,07.10.1995,AMIGA OCS/ECS,Dead End Street 1
Deadline Review,unknown,unknown,14.05.1996,14.05.1996,MS-DOS,Deadline Review
Deadline Review And Quick Docs,unknown,unknown,10.03.1994,10.03.1994,MS-DOS,Deadline Review And Quick Docs
Deadlock,unknown,unknown,24.01.1992,15.04.1996,"AMIGA OCS/ECS, AMIGA AGA","Deadlock 01, Deadlock 02, Deadlock 03, Deadlock 04, Deadlock 05, Deadlock 06, Deadlock 07, Deadlock 08, Deadlock 09, Deadlock 10"
Deadlock 07 HD Installable,unknown,unknown,16.04.1994,16.04.1994,AMIGA OCS/ECS,Deadlock 07 HD Installable
Death,unknown,unknown,01.01.1998,10.05.1998,MS-DOS,"Death 1, Death 2"
Debilizator,unknown,unknown,10.05.1998,10.05.1998,ATARI 8 BIT,"Debilizator #1, Debilizator #2, Debilizator #3"
DedFisz,unknown,unknown,08.03.1998,08.03.1998,AMIGA AGA,DedFisz 1
The Deep,unknown,unknown,01.01.1998,01.01.1998,AMIGA OCS/ECS,The Deep 1
Defcon,unknown,unknown,01.01.1998,01.01.1998,MS-DOS,"Defcon #1, Defcon #2"
Defline,unknown,unknown,16.10.1996,16.10.1996,MS-DOS,Defline #1
Defy,unknown,unknown,01.01.1995,03.08.1996,AMIGA OCS/ECS,"Defy #1, Defy #2, Defy #3, Defy #4, Defy #5, Defy #6"
Delta,unknown,unknown,03.08.1996,03.08.1996,MS-DOS,"Delta 3, Delta 4"
Demenzine,unknown,unknown,01.01.1991,01.01.1991,AMIGA OCS/ECS,Demenzine 3
Demo Or Die,unknown,unknown,19.03.1999,05.09.1999,ZX SPECTRUM,"Demo Or Die 1, Demo Or Die 2"
Demoaward,unknown,unknown,05.09.1999,05.09.1999,AMIGA OCS/ECS,Demoaward 2
Demoniak,unknown,unknown,01.01.1992,01.01.1993,AMSTRAD CPC,"Demoniak #1, Demoniak #2, Demoniak #3, Demoniak #4, Demoniak #5, Demoniak #6, Demoniak #7"
Des Deutschen Disk,unknown,unknown,01.01.1992,01.01.1992,AMIGA OCS/ECS,Des Deutschen Disk
Design,unknown,unknown,01.01.1992,29.12.1998,COMMODORE 64,"Design 1, Design 2, Design 3"
Detreck Fanzine,unknown,unknown,29.12.1998,29.12.1998,AMIGA AGA,Detreck Fanzine
Detroit Review,unknown,unknown,05.04.1994,05.04.1994,MS-DOS,Detroit Review
Devotion,unknown,unknown,31.07.2000,15.06.2001,"AMIGA PPC/RTG, AMIGA AGA","Devotion 1, Devotion 2"
Digial Underground Association Magazine 06/94,unknown,unknown,01.06.1996,01.06.1996,MS-DOS,Digial Underground Association Magazine 06/94
Digital Disk Amiga Issue,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,Digital Disk Amiga Issue 3
Digital Disk ST – Issue,unknown,unknown,01.01.1993,01.01.1993,ATARI ST/E,"Digital Disk ST – Issue 1, Digital Disk ST – Issue 2, Digital Disk ST – Issue 3, Digital Disk ST – Issue 4, Digital Disk ST – Issue 5"
Digital Message Box,unknown,unknown,01.01.1993,01.01.1993,AMIGA OCS/ECS,Digital Message Box
Digital Orgasm,unknown,unknown,01.01.1993,01.01.1993,WINDOWS,"Digital Orgasm 1, Digital Orgasm 2"
Digital Orgasm 3 - Universe,unknown,unknown,01.01.1993,01.01.1993,WINDOWS,Digital Orgasm 3 - Universe
Digital Press,unknown,unknown,01.01.1993,01.01.1993,AMSTRAD CPC,Digital Press #3
Digital Talk,unknown,unknown,01.07.1993,08.12.2000,COMMODORE 64,"Digital Talk #01, Digital Talk #46, Digital Talk 50, Digital Talk 51"
Disc Station,unknown,unknown,01.01.1994,01.01.1994,AMIGA OCS/ECS,Disc Station 01
DISK,unknown,unknown,01.01.1994,01.01.1994,MSX,"DISK #1, DISK #2, DISK #3, DISK #4, DISK #5, DISK #6"
DISK: Biggest Bull Shit,unknown,unknown,01.01.1997,01.01.1997,MSX,DISK: Biggest Bull Shit
Disk Catalogue January,unknown,unknown,01.01.1997,01.01.1997,ATARI ST/E,Disk Catalogue January 1992
Disk Mag,unknown,unknown,01.01.1997,01.01.1997,ATARI ST/E,Disk Mag #1
Disk Magazin – Ausgabe,unknown,unknown,01.01.1989,22.08.1990,ATARI ST/E,"Disk Magazin – Ausgabe 1, Disk Magazin – Ausgabe 2, Disk Magazin – Ausgabe 3, Disk Magazin – Ausgabe 4, Disk Magazin – Ausgabe 5, Disk Magazin – Ausgabe 6, Disk Magazin – Ausgabe 7, Disk Magazin – Ausgabe 8"
Disk Maggie,unknown,unknown,01.01.1990,01.01.1990,ATARI ST/E,Disk Maggie 1
Disk Space Issue,unknown,unknown,19.08.1991,19.08.1991,ATARI ST/E,"Disk Space Issue #1, Disk Space Issue #2"
Disk Times V1.0,unknown,unknown,06.01.1992,06.01.1992,ATARI ST/E,Disk Times V1.0
Disk Times V1.5,unknown,unknown,10.07.1992,10.07.1992,ATARI ST/E,Disk Times V1.5
Disktrash,unknown,unknown,04.01.1992,05.04.1992,AMIGA OCS/ECS,"Disktrash 1, Disktrash 2, Disktrash 3"
Diskzine Construction Kit,unknown,unknown,05.04.1992,05.04.1992,ATARI ST/E,Diskzine Construction Kit
Dissonance,unknown,unknown,05.04.1992,05.04.1992,MS-DOS,Dissonance #1
Distorted,unknown,unknown,05.04.1992,01.01.1994,MS-DOS,"Distorted 1, Distorted 2"
DMZ Review,unknown,unknown,02.05.1992,16.05.1992,MS-DOS,"DMZ Review #5, DMZ Review #6"
DNT Paper 3 Preview,unknown,unknown,01.09.1992,01.09.1992,ATARI ST/E,DNT Paper 3 Preview
DNT Paper Edition,unknown,unknown,08.09.1991,26.11.1993,ATARI ST/E,"DNT Paper Edition 1, DNT Paper Edition 2, DNT Paper Edition 3, DNT Paper Edition 4, DNT Paper Edition 5, DNT Paper Edition 6, DNT Paper Edition 7"
DogDay: Asylum Review,unknown,unknown,29.06.1997,29.06.1997,MS-DOS,DogDay: Asylum Review
A-Doggi-Dog Mag,unknown,unknown,29.12.1995,29.12.1995,MS-DOS,A-Doggi-Dog Mag
Doka Pinball Review,unknown,unknown,09.03.1997,09.03.1997,MS-DOS,Doka Pinball Review
Domination,unknown,unknown,22.08.1994,08.08.2004,COMMODORE 64,"Domination 1, Domination 2, Domination 3, Domination 4, Domination 5, Domination 6, Domination 7, Domination 8, Domination 9, Domination 10, Domination 11, Domination 12, Domination 13, Domination 14, Domination 15, Domination 16, Domination 17, Domination 19"
